Train Acc,Validation acc,Test Acc,N Epochs,Runtime
0.9809517860412598,0.9641651511192322,0.9417603015899658,98,2664.5998351573944
0.9839341044425964,0.9617230892181396,0.9206788539886475,90,2478.171341896057
0.9805138111114502,0.9617382287979126,0.9060426950454712,72,2051.616453886032
0.9775442481040955,0.9581218361854553,0.9246248602867126,64,1802.0015728473663
0.977885365486145,0.957898736000061,0.9282627701759338,62,1792.8870322704315
0.9831008315086365,0.9600657224655151,0.9324398636817932,99,2687.988607406616
0.9757147431373596,0.9571632146835327,0.9239975810050964,63,1763.2440011501312
0.9804856777191162,0.9574825763702393,0.9334341883659363,96,2582.1223521232605
0.980950117111206,0.9634484648704529,0.9501223564147949,72,2048.2777967453003
0.9852315783500671,0.9662095904350281,0.9319999814033508,99,2989.2581791877747
0.9818022847175598,0.963203489780426,0.9478008151054382,89,2421.5634536743164
0.9784055948257446,0.9561823010444641,0.9403923153877258,79,2258.281930208206
0.983261227607727,0.9575129747390747,0.9421647191047668,98,2661.0645565986633
0.9839038848876953,0.9617151618003845,0.9293268322944641,93,2550.7428698539734
0.9625529646873474,0.9504476189613342,0.9091934561729431,40,1165.6916291713715
0.9824516177177429,0.9663746356964111,0.9206939339637756,99,2721.9454391002655
0.9836406707763672,0.9619072079658508,0.9382124543190002,99,2668.1057267189026
0.9831715226173401,0.9645872712135315,0.9184752106666565,87,2458.5790700912476
0.9836357831954956,0.9649455547332764,0.9178429245948792,99,2792.6639444828033
0.978707492351532,0.9607309699058533,0.9630122780799866,77,2095.5482671260834
