Train Acc,Validation acc,Test Acc,N Epochs,Runtime
0.9889675974845886,0.961821436882019,0.8970770835876465,55,1288.7747180461884
0.9907540082931519,0.9645335674285889,0.9561916589736938,73,1731.8947780132294
0.9950586557388306,0.9670400619506836,0.9231728315353394,81,1829.51127409935
0.9888980388641357,0.9635765552520752,0.9257570505142212,53,1294.5493352413177
0.9919586181640625,0.9672110080718994,0.9078659415245056,71,1601.3508710861206
0.9931900501251221,0.9654658436775208,0.9394006133079529,69,1673.3245747089386
0.991462767124176,0.966364324092865,0.928909957408905,68,1601.372689962387
0.9866271615028381,0.9567221403121948,0.9435194134712219,63,1401.9010472297668
0.9917584657669067,0.965651273727417,0.9034441709518433,83,1901.9361035823822
0.9851351976394653,0.9632818698883057,0.91346675157547,52,1250.1224904060364
0.988292932510376,0.9645030498504639,0.9313235878944397,53,1254.3393681049347
0.9867086410522461,0.9600147604942322,0.9063045382499695,50,1232.5140006542206
0.9912759065628052,0.9662510752677917,0.9248334765434265,61,1459.198258638382
0.9867070913314819,0.9610080122947693,0.923046350479126,64,1602.776337146759
0.9863415956497192,0.9628911018371582,0.9072288870811462,63,1416.4570586681366
0.9947603940963745,0.9661017060279846,0.9219653010368347,80,1813.7582952976227
0.9855794906616211,0.9634484648704529,0.9417091012001038,49,1206.3212668895721
0.9908225536346436,0.9682051539421082,0.9266602396965027,72,1651.3063781261444
0.991862416267395,0.9636682271957397,0.9530497789382935,69,1619.013304233551
0.9911494255065918,0.966568112373352,0.9397324919700623,68,1524.1037456989288
0.9939708709716797,0.9702432155609131,0.9072973728179932,75,1849.1584129333496
0.9909607172012329,0.9664404392242432,0.9241045713424683,61,1487.0696325302124
0.9865684509277344,0.9595136642456055,0.9285714030265808,63,1450.1418070793152
0.9881365299224854,0.9658282399177551,0.9111577272415161,56,1272.0614058971405
0.9951666593551636,0.9665547609329224,0.9449781775474548,81,2006.7552692890167
0.981191873550415,0.9611068367958069,0.9117945432662964,47,1078.6955540180206
0.9863521456718445,0.9594184756278992,0.9392275214195251,61,1408.0070819854736
0.9897480010986328,0.9651652574539185,0.9065860509872437,65,1474.340413570404
0.9875857830047607,0.9632878303527832,0.9237542748451233,55,1295.6796431541443
0.9850928783416748,0.9667257070541382,0.9058524370193481,47,1144.8148927688599
0.9855572581291199,0.9608160257339478,0.9396570324897766,55,1339.1063106060028
0.9863550662994385,0.9588834643363953,0.9490150809288025,55,1247.7987968921661
