Train Acc,Validation acc,Test Acc,N Epochs,Runtime
0.9866609573364258,0.9669421315193176,0.9134207963943481,41,1102.056804895401
0.9869422912597656,0.9641470313072205,0.9580158591270447,45,1106.6552851200104
0.9903861284255981,0.9648662209510803,0.9434773921966553,51,1307.5649065971375
0.9875288009643555,0.966056764125824,0.9209102988243103,47,1215.589331626892
0.989873468875885,0.9635220170021057,0.9275000095367432,48,1332.8946192264557
0.9854944348335266,0.9602606892585754,0.9245063662528992,46,1191.791164636612
0.992182195186615,0.9671003222465515,0.9437881708145142,58,1670.227055311203
0.989204466342926,0.9634972214698792,0.9011662602424622,51,1278.608030796051
0.989126443862915,0.9669145941734314,0.928042471408844,50,1228.1004037857056
0.9918422102928162,0.9679381847381592,0.9358584880828857,57,1439.529422044754
0.9884808659553528,0.9644866585731506,0.946322500705719,49,1292.2076354026794
0.9890416860580444,0.9636618494987488,0.8978348970413208,45,1103.1067850589752
0.9890922904014587,0.9662248492240906,0.9249024987220764,53,1297.6999440193176
0.9913583993911743,0.9671027660369873,0.9224303960800171,54,1344.7466270923615
0.988567054271698,0.9704496264457703,0.9390993118286133,49,1188.0374097824097
0.9884029030799866,0.965548038482666,0.8990578651428223,46,1125.2425928115845
0.9909421801567078,0.9625080227851868,0.9508599638938904,58,1406.9640707969666
0.9869005084037781,0.9650999903678894,0.9284738898277283,47,1179.4141998291016
0.9883878231048584,0.9618644118309021,0.899469792842865,47,1195.3481957912445
0.9889327883720398,0.9685328006744385,0.9100257158279419,50,1254.224552154541
